"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"54","2004",158,284,109.68615,750.35711,4,318.155013775424,32,0.0677353888138596,70,8114.3468,214,93,814.61358,3864.9145,121,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"55","2005",193,328,277.0034,4701.40492,7,15973.4238095189,18,0.0775847639913836,51,25086.7818,277,201,2494.8234,5041.5671,76,NA,253.5,NA,NA,28,NA,52938.12474,18671.8971,40763.58466,NA,4,NA
"56","2006",164,314,133.29175,497.19231,2,330.996875928273,23,0.101215119471165,62,32657.5301,252,97,3889.53784,8190.5302,155,NA,222,NA,NA,24,NA,52938.12474,18671.8971,40763.58466,NA,5,NA
"57","2007",209,267,96.1898,253.22272,2,207.395217652902,0,0.0748881118423777,49,3471.8904,218,106,115.9647,1351.76855,112,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"58","2008",199,295,116.0859,921.3993,2,184.91816162595,4,0.0749758394042758,63,9476.3715,232,122,829.71001,2746.56605,110,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"59","2009",199,292,126.0559,658.38636,6,1349.7712526914,2,0.0749055701971902,61,15068.7611,231,103,1530.89178,4283.1697,128,NA,212,NA,NA,1,NA,52938.12474,18671.8971,40763.58466,NA,1,NA
"60","2010",201,300,375.3942,5259.1365,3,8567.22394745264,13,0.0890772845746041,46,24705.3113,254,129,1596.75404,3758.2926,125,NA,245,NA,NA,7,NA,52938.12474,18671.8971,40763.58466,NA,1,NA
"61","2011",178,336,184.0067,647.86639,1,3136.07972537884,3,0.0756248978943994,68,39773.4717,268,133,3331.33634,6356.4387,135,NA,216,NA,NA,28,NA,52938.12474,18671.8971,40763.58466,NA,5,NA
"62","2012",129,266,95.0676,136.57518,2,3556.69254355442,4,0.0797206733478883,47,8376.0114,219,71,311.3793,1400.1266,148,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"63","2013",109,286,95.8117,164.60796,2,185.961102684513,10,0.0671842223838559,67,4110.1843,219,190,140.77226,368.099,29,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
